"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.01,3298.82,54.73273058,3
"A",0.01,11475.5,113.3757306,3
"A",0.01,10241.7,138.9417306,3
"A",0.01,1975.46,136.2747306,3
"A",0.01,6162.91,187.6237306,3
"A",0.01,8291.8,201.5077306,3
"A",0.01,14636.9,345.7517306,3
"A",0.01,2192.82,69.57273058,3
"A",0.01,10670,220.4697306,3
"A",0.01,17146.2,256.6107306,3
"A",0.01,297.277,165.4767306,3
"A",0.01,11999.8,338.9577306,3
"A",0.01,13930.5,224.6207306,3
"A",0.01,5453.28,305.9017306,3
"A",0.01,2860.89,198.6557306,3
"A",0.01,4836.35,173.0917306,3
"A",0.01,4577.43,160.7417306,3
"A",0.01,335.636,218.8047306,3
"A",0.01,9094.13,125.8007306,3
"A",0.01,1933.9,181.7217306,3
"A",0.01,7499.06,450.7397306,3
"A",0.01,76.7167,31.46473058,3
"A",0.01,14978.9,452.7207306,3
"A",0.01,3202.92,42.84773058,3
"A",0.01,9960.39,256.0427306,3
"A",0.01,3126.21,119.7367306,3
"A",0.01,7329.64,909.7867306,3
"A",0.01,1185.91,169.5277306,3
"A",0.01,1221.07,34.20973058,3
