"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0,10436.7,214.3563219,1
"A",0,39052,229.9333219,1
"A",0,4149.1,753.4383219,1
"A",0,4273.76,87.50932189,1
"A",0,2809.75,61.59232189,1
"A",0,21340,103.0163219,1
"A",0,3819.85,123.6203219,1
"A",0,4334.5,172.1953219,1
"A",0,8745.71,196.8603219,1
"A",0,175.809,46.71432189,1
"A",0,2918.43,78.07632189,1
"A",0,7115.48,69.29232189,1
"A",0,1700.55,49.98032189,1
"A",0,14732.8,158.7153219,1
"A",0,9212.4,108.6033219,1
"A",0,21058.7,230.7553219,1
"A",0,5820.88,221.0753219,1
"A",0,15602.3,91.52532189,1
"A",0,33298.3,178.8133219,1
"A",0,15519.2,93.79932189,1
"A",0,7214.57,200.8683219,1
"A",0,5859.24,53.49832189,1
"A",0,36434.1,778.0683219,1
"A",0,8435.64,80.30932189,1
"A",0,1444.83,159.7303219,1
