"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0,5942.35,521.603321887,3
"A",0,44.7514,1.97832188699999,3
"A",0,33662.7,292.073321887,3
"A",0,29024.5,236.553321887,3
"A",0,7895.43,51.703321887,3
"A",0,2202.41,43.336321887,3
"A",0,2649.92,302.780321887,3
"A",0,3135.8,845.088321887,3
"A",0,974.942,196.871321887,3
"A",0,2384.61,69.613321887,3
"A",0,4018.04,61.660321887,3
"A",0,3404.31,95.616321887,3
"A",0,2474.11,481.121321887,3
"A",0,19006.6,171.481321887,3
"A",0,5386.15,104.926321887,3
"A",0,313.26,771.608321887,3
"A",0,9461.73,218.774321887,3
"A",0,17507.4,132.699321887,3
"A",0,17986.9,103.563321887,3
"A",0,4369.66,300.622321887,3
"A",0,4222.62,62.587321887,3
"A",0,808.722,5.43132188699997,3
"A",0,49824.3,196.078321887,3
"A",0,5891.21,61.325321887,3
"A",0,33397.4,216.206321887,3
"A",0,17545.8,122.742321887,3
"A",0,62594.5,180.241321887,3
"A",0,4222.62,125.874321887,3
"A",0,3644.04,74.729321887,3
"A",0,8192.71,55.087321887,3
