"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.1,2665.91,232.942804535,3
"A",0.1,2675.5,437.816804535,3
"A",0.1,1575.89,391.746804535,3
"A",0.1,4497.52,296.529804535,3
"A",0.1,7921,205.859804535,3
"A",0.1,2103.32,150.834804535,3
"A",0.1,2330.27,378.572804535,3
"A",0.1,111.879,221.839804535,3
"A",0.1,2921.63,52.613804535,3
"A",0.1,6.39306,-17.489195465,3
"A",0.1,31.9653,139.110804535,3
"A",0.1,15.9827,-8.18919546500001,3
"A",0.1,9.58959,-2.98919546500002,3
"A",0.1,485.873,140.878804535,3
"A",0.1,2653.12,131.785804535,3
"A",0.1,8339.75,147.038804535,3
"A",0.1,680.861,642.860804535,3
"A",0.1,6335.52,507.206804535,3
"A",0.1,3394.72,106.653804535,3
"A",0.1,358.011,108.867804535,3
"A",0.1,3343.57,141.731804535,3
"A",0.1,2170.44,53.552804535,3
"A",0.1,3672.81,318.116804535,3
"A",0.1,11219.8,153.586804535,3
"A",0.1,5581.14,230.638804535,3
"A",0.1,2822.54,337.393804535,3
"A",0.1,4021.24,223.620804535,3
"A",0.1,1857.18,46.420804535,3
"A",0.1,8608.26,530.010804535,3
"A",0.1,738.399,71.729804535,3
