"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.001,12213.9,204.820395312,2
"A",0.001,11699.3,72.730395312,2
"A",0.001,7086.71,116.331395312,2
"A",0.001,16877.7,93.773395312,2
"A",0.001,29954.7,1126.221395312,2
"A",0.001,14790.3,518.173395312,2
"A",0.001,5875.22,259.658395312,2
"A",0.001,6297.17,285.045395312,2
"A",0.001,26262.7,198.952395312,2
"A",0.001,36801.7,360.027395312,2
"A",0.001,26882.8,77.911395312,2
"A",0.001,92549.2,307.817395312,2
"A",0.001,4660.54,131.144395312,2
"A",0.001,1921.11,227.164395312,2
"A",0.001,5590.73,275.198395312,2
"A",0.001,9413.78,113.884395312,2
"A",0.001,3.19653,23.891395312,2
"A",0.001,5654.66,605.348395312,2
"A",0.001,11197.4,109.664395312,2
"A",0.001,3928.54,43.857395312,2
"A",0.001,1643.02,73.368395312,2
"A",0.001,26390.6,114.710395312,2
"A",0.001,4392.03,88.237395312,2
"A",0.001,27001.1,256.573395312,2
"A",0.001,1930.7,101.558395312,2
