"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",1,10839.4,367.4724828,1
"A",1,7687.66,272.1794828,1
"A",1,1710.14,124.9014828,1
"A",1,4462.36,54.80348283,1
"A",1,3902.96,95.81848283,1
"A",1,9746.22,249.7394828,1
"A",1,38.3584,169.3444828,1
"A",1,671.271,151.9464828,1
"A",1,5673.84,129.5964828,1
"A",1,3.19653,20.59448283,1
"A",1,70.3237,65.68548283,1
"A",1,3231.69,486.5794828,1
"A",1,1253.04,190.4334828,1
"A",1,7940.18,97.11448283,1
"A",1,1035.68,206.4154828,1
"A",1,1454.42,201.3104828,1
"A",1,613.734,144.7094828,1
"A",1,5833.67,123.4584828,1
"A",1,8991.84,115.4804828,1
"A",1,2406.99,61.48248283,1
"A",1,19380.6,174.3944828,1
"A",1,4040.41,309.6934828,1
"A",1,22775.3,221.4844828,1
"A",1,5859.24,257.0044828,1
"A",1,10654,293.1094828,1
"A",1,8314.18,256.2724828,1
"A",1,25.5722,131.8444828,1
"A",1,4289.74,117.6314828,1
"A",1,47.948,39.19448283,1
"A",1,469.89,383.2614828,1
"A",1,2445.35,100.2914828,1
"A",1,399.566,174.1224828,1
"A",1,7508.65,223.0604828,1
"A",1,10187.3,152.2374828,1
"A",1,9.58959,102.9274828,1
"A",1,8215.08,163.7554828,1
"A",1,5072.89,134.0914828,1
