"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.001,14729.6,122.2993953,1
"A",0.001,7927.4,124.3123953,1
"A",0.001,3132.6,114.2713953,1
"A",0.001,30427.8,81.12439531,1
"A",0.001,14131.9,156.6893953,1
"A",0.001,41340.7,214.0133953,1
"A",0.001,7658.89,298.0383953,1
"A",0.001,2809.75,33.13639531,1
"A",0.001,17446.7,73.59539531,1
"A",0.001,42734.4,88.05139531,1
"A",0.001,40765.4,132.5113953,1
"A",0.001,6325.93,61.13239531,1
"A",0.001,3138.99,39.19839531,1
"A",0.001,17664,142.5543953,1
"A",0.001,10344,211.6413953,1
"A",0.001,776.757,153.5913953,1
"A",0.001,31994.1,61.41039531,1
"A",0.001,37696.7,204.7883953,1
"A",0.001,3883.78,105.6193953,1
"A",0.001,246.133,643.1913953,1
"A",0.001,3.19653,807.8913953,1
"A",0.001,15167.5,131.2673953,1
"A",0.001,1310.58,77.96739531,1
"A",0.001,5593.93,96.41339531,1
