"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.01,11053.6,172.5287306,2
"A",0.01,1882.76,148.5157306,2
"A",0.01,1991.44,198.4657306,2
"A",0.01,140.647,84.84773058,2
"A",0.01,9011.02,101.5637306,2
"A",0.01,2627.55,82.20273058,2
"A",0.01,4238.6,138.5407306,2
"A",0.01,15026.9,119.1797306,2
"A",0.01,1294.59,181.9887306,2
"A",0.01,26908.4,183.4837306,2
"A",0.01,6306.75,251.1207306,2
"A",0.01,1863.58,340.1137306,2
"A",0.01,28.7688,41.75673058,2
"A",0.01,3541.76,305.7497306,2
"A",0.01,6824.59,419.9857306,2
"A",0.01,3580.11,127.3927306,2
"A",0.01,1339.35,61.18173058,2
"A",0.01,3493.81,70.17273058,2
"A",0.01,14889.4,298.9567306,2
"A",0.01,1575.89,111.2657306,2
"A",0.01,8848,280.4847306,2
"A",0.01,8467.61,295.3487306,2
"A",0.01,14732.8,195.4877306,2
"A",0.01,5897.6,308.1127306,2
"A",0.01,13431.8,132.4007306,2
"A",0.01,10992.9,402.8167306,2
"A",0.01,3180.55,276.8727306,2
