"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",1,1575.89,206.825482825,2
"A",1,204.578,149.219482825,2
"A",1,2624.35,104.972482825,2
"A",1,28.7688,125.927482825,2
"A",1,28.7688,119.038482825,2
"A",1,9643.93,212.328482825,2
"A",1,4104.35,203.392482825,2
"A",1,9017.41,502.821482825,2
"A",1,3439.47,205.255482825,2
"A",1,7009.99,1130.234482825,2
"A",1,1048.46,1366.474482825,2
"A",1,396.37,158.610482825,2
"A",1,4136.31,466.159482825,2
"A",1,1588.68,97.880482825,2
"A",1,4404.82,122.145482825,2
"A",1,1508.76,141.795482825,2
"A",1,5184.77,74.915482825,2
"A",1,7041.96,146.163482825,2
"A",1,2678.69,96.250482825,2
"A",1,9854.9,191.608482825,2
"A",1,5331.81,102.482482825,2
"A",1,1866.77,167.794482825,2
"A",1,7799.53,204.826482825,2
"A",1,12.7861,28.594482825,2
"A",1,447.514,125.394482825,2
"A",1,450.711,640.524482825,2
"A",1,7326.45,674.844482825,2
"A",1,2176.84,49.616482825,2
"A",1,3858.21,80.162482825,2
"A",1,4011.65,222.463482825,2
"A",1,4446.37,285.905482825,2
"A",1,22.3757,175.594482825,2
"A",1,2982.36,296.961482825,2
"A",1,898.225,103.587482825,2
"A",1,10248.1,371.531482825,2
"A",1,933.387,73.125482825,2
"A",1,3014.33,50.321482825,2
"A",1,12.7861,37.344482825,2
"A",1,1173.13,66.499482825,2
